trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
3530483,2,1993-03-31,PRIJEM,,14,25050,UROK,,
3530484,2,1993-04-30,PRIJEM,,110,34395,UROK,,
3530485,2,1993-05-31,PRIJEM,,145,37176,UROK,,
3530486,2,1993-06-30,PRIJEM,,160,45290,UROK,,
3530487,2,1993-07-31,PRIJEM,,203,39084,UROK,,
3530488,2,1993-08-31,PRIJEM,,154,27006,UROK,,
3530489,2,1993-09-30,PRIJEM,,127,21789,UROK,,
3530490,2,1993-10-31,PRIJEM,,101,27845,UROK,,
3530491,2,1993-11-30,PRIJEM,,139,31840,UROK,,
3530492,2,1993-12-31,PRIJEM,,138,27855,UROK,,
3681168,19,1995-04-30,PRIJEM,,47,16233,UROK,,
3681169,19,1995-05-31,PRIJEM,,125,35897,UROK,,
3681170,19,1995-06-30,PRIJEM,,207,56038,UROK,,
3681171,19,1995-07-31,PRIJEM,,237,57921,UROK,,
3681172,19,1995-08-31,PRIJEM,,215,43746,UROK,,
3681173,19,1995-09-30,PRIJEM,,98,16938,UROK,,
3681174,19,1995-10-31,PRIJEM,,122,20268,UROK,,
3681175,19,1995-11-30,PRIJEM,,76,3745,UROK,,
3681176,19,1995-12-31,PRIJEM,,81,26419,UROK,,
3681177,19,1996-01-31,PRIJEM,,87,3797,UROK,,
3681178,19,1996-02-29,PRIJEM,,56,19738,UROK,,
3681179,19,1996-03-31,PRIJEM,,84,16330,UROK,,
3445002,19,1995-04-30,PRIJEM,,47,16186,UROK,,
3445003,19,1995-05-31,PRIJEM,,125,36023,UROK,,
3445004,19,1995-06-30,PRIJEM,,207,56245,UROK,,
3445005,19,1995-07-31,PRIJEM,,237,58158,UROK,,
3445006,19,1995-08-31,PRIJEM,,214,43961,UROK,,
3445007,19,1995-09-30,PRIJEM,,98,16840,UROK,,
3445008,19,1995-10-31,PRIJEM,,84,20147,UROK,,
3445009,19,1995-11-30,PRIJEM,,76,3669,UROK,,
3445010,19,1995-12-31,PRIJEM,,81,26500,UROK,,
3445011,19,1996-01-31,PRIJEM,,86,3710,UROK,,
3445012,19,1996-02-29,PRIJEM,,61,19682,UROK,,
3445013,19,1996-03-31,PRIJEM,,84,16246,UROK,,
4530,19,1995-04-07,PRIJEM,VKLAD,1000,1000,,,
4534,19,1995-04-10,PRIJEM,PREVOD Z UCTU,15139,16139,,OP,29053187.0
4535,19,1995-05-10,PRIJEM,PREVOD Z UCTU,15139,35772,,OP,29053187.0
4536,19,1995-06-10,PRIJEM,PREVOD Z UCTU,22708,55831,,OP,29053187.0
4537,19,1995-07-10,PRIJEM,PREVOD Z UCTU,15139,57684,,OP,29053187.0
4538,19,1995-08-10,PRIJEM,PREVOD Z UCTU,15139,55297,,OP,29053187.0
4539,19,1995-09-10,PRIJEM,PREVOD Z UCTU,15139,34542,,OP,29053187.0
4540,19,1995-10-10,PRIJEM,PREVOD Z UCTU,15139,36262,,OP,29053187.0
4541,19,1995-11-10,PRIJEM,PREVOD Z UCTU,15139,25093,,OP,29053187.0
4542,19,1995-12-10,PRIJEM,PREVOD Z UCTU,22708,29039,,OP,29053187.0
4543,19,1996-01-10,PRIJEM,PREVOD Z UCTU,15139,41024,,OP,29053187.0
4544,19,1996-02-10,PRIJEM,PREVOD Z UCTU,15139,21421,,OP,29053187.0
4545,19,1996-03-10,PRIJEM,PREVOD Z UCTU,15139,35162,,OP,29053187.0
4546,19,1996-04-10,PRIJEM,PREVOD Z UCTU,15139,15854,,OP,29053187.0
4586,19,1995-08-09,VYDAJ,VYBER,2800,40158,,,0.0
4587,19,1995-09-23,VYDAJ,VYBER,2800,16742,,,0.0
4588,19,1995-10-10,VYDAJ,VYBER,3000,33262,,,0.0
4589,19,1995-11-12,VYDAJ,VYBER,2100,22993,,,0.0
4590,19,1995-11-29,VYDAJ,VYBER,2700,20293,,,0.0
4591,19,1995-12-31,VYDAJ,VYBER,1600,24885,,,0.0
4592,19,1996-02-10,VYDAJ,VYBER,1800,19621,,,0.0
4593,19,1996-03-07,VYDAJ,VYBER,2300,20023,,,0.0
4594,19,1996-03-24,VYDAJ,VYBER,2000,16162,,,0.0
4635,19,1995-09-13,VYDAJ,VYBER,15000,19542,SIPO,,0.0
4636,19,1995-10-10,VYDAJ,VYBER,13200,20062,SIPO,,0.0
4637,19,1995-11-05,VYDAJ,VYBER,16800,9954,SIPO,,0.0
4638,19,1995-11-29,VYDAJ,VYBER,16700,3593,SIPO,,0.0
4639,19,1996-01-15,VYDAJ,VYBER,16300,17824,SIPO,,0.0
4640,19,1996-01-30,VYDAJ,VYBER,14200,3624,SIPO,,0.0
4641,19,1996-03-16,VYDAJ,VYBER,17000,18162,SIPO,,0.0
4642,19,1996-04-06,VYDAJ,VYBER,18200,715,SIPO,,0.0
4685,19,1995-08-23,VYBER,VYBER,11765,43532,,,
4688,19,1995-09-06,VYBER,VYBER,16543,19403,,,
4713,19,1995-12-19,VYDAJ,VYBER,2700,26339,,,
4723,19,1996-01-12,VYDAJ,VYBER,2100,34124,,,
4725,19,1996-01-10,VYDAJ,VYBER,4800,36224,,,
4770,19,1995-08-31,VYDAJ,VYBER,15,43946,SLUZBY,,
4771,19,1995-09-30,VYDAJ,VYBER,15,16923,SLUZBY,,
4772,19,1995-10-31,VYDAJ,VYBER,15,20254,SLUZBY,,
4773,19,1995-11-30,VYDAJ,VYBER,15,3731,SLUZBY,,
4774,19,1995-12-31,VYDAJ,VYBER,15,26485,SLUZBY,,
4775,19,1996-01-31,VYDAJ,VYBER,15,3782,SLUZBY,,
4776,19,1996-02-29,VYDAJ,VYBER,15,19723,SLUZBY,,
4777,19,1996-03-31,VYDAJ,VYBER,15,16315,SLUZBY,,
4810,19,1995-05-07,PRIJEM,VKLAD,4400,20633,,,
4811,19,1995-06-06,VYDAJ,VYBER,2900,33123,,,
4812,19,1995-07-06,VYDAJ,VYBER,13700,42545,,,
4813,19,1995-08-05,VYDAJ,VYBER,15200,42958,,,
4814,19,1995-09-04,VYDAJ,VYBER,8000,35946,,,
4815,19,1995-10-04,PRIJEM,VKLAD,4200,21123,,,
4816,19,1995-11-03,PRIJEM,VKLAD,6500,26754,,,
4817,19,1995-12-03,PRIJEM,VKLAD,2600,6331,,,
4818,19,1996-01-02,PRIJEM,VKLAD,1000,25885,,,
4819,19,1996-02-01,PRIJEM,VKLAD,2500,6282,,,
4820,19,1996-03-02,PRIJEM,VKLAD,2600,22323,,,
4821,19,1996-04-01,PRIJEM,VKLAD,2600,18915,,,
3531117,25,1996-09-30,PRIJEM,,363,58137,UROK,,
3531118,25,1996-10-31,PRIJEM,,291,87605,UROK,,
3531119,25,1996-11-30,PRIJEM,,352,69223,UROK,,
3531120,25,1996-12-31,PRIJEM,,322,63168,UROK,,
3531121,25,1997-01-31,PRIJEM,,252,29367,UROK,,
3531122,25,1997-02-28,PRIJEM,,244,39113,UROK,,
3531123,25,1997-03-31,PRIJEM,,135,26342,UROK,,
3531124,25,1997-04-30,PRIJEM,,235,37097,UROK,,
3531125,25,1997-05-31,PRIJEM,,307,77036,UROK,,
3531126,25,1997-06-30,PRIJEM,,245,34947,UROK,,
3531127,25,1997-07-31,PRIJEM,,206,49784,UROK,,
3531128,25,1997-08-31,PRIJEM,,215,42322,UROK,,
3531129,25,1997-09-30,PRIJEM,,234,71736,UROK,,
3531130,25,1997-10-31,PRIJEM,,314,91542,UROK,,
3531131,25,1997-11-30,PRIJEM,,372,40025,UROK,,
6145,25,1996-07-28,PRIJEM,VKLAD,900,900,,,
6150,25,1996-09-03,PRIJEM,VKLAD,13067,29767,,,
6151,25,1996-11-10,PRIJEM,VKLAD,19946,86326,,,
6152,25,1996-12-16,PRIJEM,VKLAD,48955,103447,,,
6154,25,1996-11-07,PRIJEM,VKLAD,48119,113444,,,
6156,25,1996-11-29,PRIJEM,VKLAD,29361,68871,,,
6158,25,1996-09-06,PRIJEM,VKLAD,41759,113580,,,
6162,25,1996-10-03,PRIJEM,VKLAD,22573,80710,,,
6163,25,1996-12-10,PRIJEM,VKLAD,25125,77339,,,
6164,25,1996-12-09,PRIJEM,VKLAD,47179,115114,,,
6166,25,1996-11-15,PRIJEM,VKLAD,31101,109110,,,
6167,25,1996-11-06,PRIJEM,VKLAD,29145,116735,,,
6168,25,1996-09-25,PRIJEM,VKLAD,13794,91374,,,
6171,25,1996-09-05,PRIJEM,VKLAD,42054,71821,,,
6173,25,1996-10-28,PRIJEM,VKLAD,40895,87314,,,
6175,25,1997-04-07,PRIJEM,VKLAD,39433,111485,,,
6176,25,1997-05-09,PRIJEM,VKLAD,8802,61962,,,
6177,25,1997-05-03,PRIJEM,VKLAD,18951,54434,,,
6178,25,1997-06-09,PRIJEM,VKLAD,5271,71719,,,
6179,25,1997-02-06,PRIJEM,VKLAD,39485,82186,,,
6180,25,1997-05-28,PRIJEM,VKLAD,30931,88130,,,
6181,25,1997-10-23,PRIJEM,VKLAD,8094,64548,,,
6182,25,1997-09-17,PRIJEM,VKLAD,42433,86810,,,
6183,25,1997-09-01,PRIJEM,VKLAD,12761,55068,,,
6184,25,1997-04-05,PRIJEM,VKLAD,49734,73162,,,
6185,25,1997-11-20,PRIJEM,VKLAD,36216,119653,,,
6186,25,1997-02-02,PRIJEM,VKLAD,15549,44901,,,
6187,25,1997-01-11,PRIJEM,VKLAD,41021,92784,,,
6188,25,1997-05-10,PRIJEM,VKLAD,36054,98016,,,
6189,25,1997-07-26,PRIJEM,VKLAD,20895,51678,,,
6190,25,1997-07-06,PRIJEM,VKLAD,37842,72774,,,
6191,25,1997-09-27,PRIJEM,VKLAD,18292,71502,,,
6192,25,1997-10-11,PRIJEM,VKLAD,26124,87154,,,
6193,25,1997-08-09,PRIJEM,VKLAD,18228,66724,,,
6194,25,1997-10-29,PRIJEM,VKLAD,29180,91228,,,
6222,25,1996-10-07,VYDAJ,VYBER,2400,77200,,,0.0
6223,25,1996-11-11,VYDAJ,VYBER,1500,78009,,,0.0
6224,25,1996-12-20,VYDAJ,VYBER,1900,101547,,,0.0
6225,25,1997-01-22,VYDAJ,VYBER,2000,47916,,,0.0
6226,25,1997-02-03,VYDAJ,VYBER,2200,42701,,,0.0
6227,25,1997-03-25,VYDAJ,VYBER,3200,26208,,,0.0
6228,25,1997-03-31,VYDAJ,VYBER,2900,23428,,,0.0
6229,25,1997-05-02,VYDAJ,VYBER,1600,35483,,,0.0
6230,25,1997-06-04,VYDAJ,VYBER,1800,75222,,,0.0
6231,25,1997-07-10,VYDAJ,VYBER,1700,52783,,,0.0
6232,25,1997-07-28,VYDAJ,VYBER,2100,49578,,,0.0
6233,25,1997-09-09,VYDAJ,VYBER,2600,51194,,,0.0
6234,25,1997-10-10,VYDAJ,VYBER,2600,61030,,,0.0
6235,25,1997-10-27,VYDAJ,VYBER,2500,62048,,,0.0
6258,25,1996-10-10,VYDAJ,PREVOD NA UCET,6817,70219,SIPO,IJ,4896235.0
6259,25,1996-11-10,VYDAJ,PREVOD NA UCET,6817,79509,SIPO,IJ,4896235.0
6260,25,1996-12-10,VYDAJ,PREVOD NA UCET,6817,70522,SIPO,IJ,4896235.0
6261,25,1997-01-10,VYDAJ,PREVOD NA UCET,6817,51763,SIPO,IJ,4896235.0
6262,25,1997-02-10,VYDAJ,PREVOD NA UCET,6817,74095,SIPO,IJ,4896235.0
6263,25,1997-03-10,VYDAJ,PREVOD NA UCET,6817,31008,SIPO,IJ,4896235.0
6264,25,1997-04-10,VYDAJ,PREVOD NA UCET,6817,77304,SIPO,IJ,4896235.0
6265,25,1997-05-10,VYDAJ,PREVOD NA UCET,6817,91199,SIPO,IJ,4896235.0
6266,25,1997-06-10,VYDAJ,PREVOD NA UCET,6817,64902,SIPO,IJ,4896235.0
6267,25,1997-07-10,VYDAJ,PREVOD NA UCET,6817,54483,SIPO,IJ,4896235.0
6268,25,1997-08-10,VYDAJ,PREVOD NA UCET,6817,59907,SIPO,IJ,4896235.0
6269,25,1997-09-10,VYDAJ,PREVOD NA UCET,6817,44377,SIPO,IJ,4896235.0
6270,25,1997-10-10,VYDAJ,PREVOD NA UCET,6817,63630,SIPO,IJ,4896235.0
6271,25,1997-11-10,VYDAJ,PREVOD NA UCET,6817,83437,SIPO,IJ,4896235.0
6294,25,1996-10-06,VYDAJ,PREVOD NA UCET,1110,79600, ,AB,79838293.0
6295,25,1996-11-06,VYDAJ,PREVOD NA UCET,1110,65325, ,AB,79838293.0
6296,25,1996-12-06,VYDAJ,PREVOD NA UCET,1110,68099, ,AB,79838293.0
6297,25,1997-01-06,VYDAJ,PREVOD NA UCET,1110,58744, ,AB,79838293.0
6298,25,1997-02-06,VYDAJ,PREVOD NA UCET,1110,81076, ,AB,79838293.0
6299,25,1997-03-06,VYDAJ,PREVOD NA UCET,1110,37989, ,AB,79838293.0
6300,25,1997-04-06,VYDAJ,PREVOD NA UCET,1110,72052, ,AB,79838293.0
6301,25,1997-05-06,VYDAJ,PREVOD NA UCET,1110,53324, ,AB,79838293.0
6302,25,1997-06-06,VYDAJ,PREVOD NA UCET,1110,74112, ,AB,79838293.0
6303,25,1997-07-06,VYDAJ,PREVOD NA UCET,1110,71664, ,AB,79838293.0
6304,25,1997-08-06,VYDAJ,PREVOD NA UCET,1110,48660, ,AB,79838293.0
6305,25,1997-09-06,VYDAJ,PREVOD NA UCET,1110,53958, ,AB,79838293.0
6306,25,1997-10-06,VYDAJ,PREVOD NA UCET,1110,70611, ,AB,79838293.0
6307,25,1997-11-06,VYDAJ,PREVOD NA UCET,1110,90418, ,AB,79838293.0
6308,25,1997-12-06,VYDAJ,PREVOD NA UCET,1110,31622, ,AB,79838293.0
6330,25,1996-10-08,VYDAJ,PREVOD NA UCET,164,77036,POJISTNE,WX,52864879.0
6331,25,1996-11-08,VYDAJ,PREVOD NA UCET,164,66380,POJISTNE,WX,52864879.0
6332,25,1996-12-08,VYDAJ,PREVOD NA UCET,164,67935,POJISTNE,WX,52864879.0
6333,25,1997-01-08,VYDAJ,PREVOD NA UCET,164,58580,POJISTNE,WX,52864879.0
6334,25,1997-02-08,VYDAJ,PREVOD NA UCET,164,80912,POJISTNE,WX,52864879.0
6335,25,1997-03-08,VYDAJ,PREVOD NA UCET,164,37825,POJISTNE,WX,52864879.0
6336,25,1997-04-08,VYDAJ,PREVOD NA UCET,164,84121,POJISTNE,WX,52864879.0
6337,25,1997-05-08,VYDAJ,PREVOD NA UCET,164,53160,POJISTNE,WX,52864879.0
6338,25,1997-06-08,VYDAJ,PREVOD NA UCET,164,66448,POJISTNE,WX,52864879.0
6339,25,1997-07-08,VYDAJ,PREVOD NA UCET,164,61300,POJISTNE,WX,52864879.0
6340,25,1997-08-08,VYDAJ,PREVOD NA UCET,164,48496,POJISTNE,WX,52864879.0
6341,25,1997-09-08,VYDAJ,PREVOD NA UCET,164,53794,POJISTNE,WX,52864879.0
6342,25,1997-10-08,VYDAJ,PREVOD NA UCET,164,70447,POJISTNE,WX,52864879.0
6343,25,1997-11-08,VYDAJ,PREVOD NA UCET,164,90254,POJISTNE,WX,52864879.0
6358,25,1996-12-12,VYBER,VYBER,16030,54492,,,
6368,25,1997-01-18,VYBER,VYBER,3627,82316,,,
6369,25,1997-01-11,VYBER,VYBER,3841,88943,,,
6370,25,1997-12-02,VYBER,VYBER,7278,32732,,,
6372,25,1997-02-20,VYBER,VYBER,22926,51169,,,
6373,25,1997-04-15,VYBER,VYBER,13141,64163,,,
6383,25,1997-06-22,VYDAJ,VYBER,16800,48102,,,
6386,25,1997-01-19,VYDAJ,VYBER,7800,58616,,,
6388,25,1996-12-27,VYDAJ,VYBER,2400,62847,,,
6397,25,1997-01-17,VYDAJ,VYBER,3000,85943,,,
6398,25,1997-01-19,VYDAJ,VYBER,7500,66416,,,
6399,25,1997-01-19,VYDAJ,VYBER,8400,73916,,,
6400,25,1997-01-29,VYDAJ,VYBER,7800,29116,,,
6401,25,1997-01-21,VYDAJ,VYBER,8700,49916,,,
6402,25,1997-01-01,VYDAJ,VYBER,3300,59854,,,
6412,25,1997-05-29,VYDAJ,VYBER,11400,76730,,,
6413,25,1997-06-07,VYDAJ,VYBER,7500,66612,,,
6414,25,1997-07-25,VYDAJ,VYBER,6900,30783,,,
6415,25,1997-04-29,VYDAJ,VYBER,5700,36863,,,
6417,25,1997-07-06,VYDAJ,VYBER,10200,61464,,,
6430,25,1996-10-31,VYDAJ,VYBER,15,87590,SLUZBY,,
6431,25,1996-11-30,VYDAJ,VYBER,15,69209,SLUZBY,,
6432,25,1996-12-31,VYDAJ,VYBER,15,63154,SLUZBY,,
6433,25,1997-01-31,VYDAJ,VYBER,15,29352,SLUZBY,,
6434,25,1997-02-28,VYDAJ,VYBER,15,39099,SLUZBY,,
6435,25,1997-03-31,VYDAJ,VYBER,15,26328,SLUZBY,,
6436,25,1997-04-30,VYDAJ,VYBER,15,37083,SLUZBY,,
6437,25,1997-05-31,VYDAJ,VYBER,15,77022,SLUZBY,,
6438,25,1997-06-30,VYDAJ,VYBER,15,34932,SLUZBY,,
6439,25,1997-07-31,VYDAJ,VYBER,15,49770,SLUZBY,,
6440,25,1997-08-31,VYDAJ,VYBER,15,42307,SLUZBY,,
6441,25,1997-09-30,VYDAJ,VYBER,15,71721,SLUZBY,,
6442,25,1997-10-31,VYDAJ,VYBER,15,91528,SLUZBY,,
6443,25,1997-11-30,VYDAJ,VYBER,15,40010,SLUZBY,,
6456,25,1996-08-27,PRIJEM,VKLAD,15800,16700,,,
6457,25,1996-09-06,VYDAJ,VYBER,36000,77580,,,
6458,25,1996-09-26,VYDAJ,VYBER,33600,57774,,,
6459,25,1996-10-26,VYDAJ,VYBER,23800,46419,,,
6460,25,1996-11-06,VYDAJ,VYBER,50300,66435,,,
6461,25,1996-11-07,VYDAJ,VYBER,46900,66544,,,
6462,25,1996-11-15,VYDAJ,VYBER,62800,46310,,,
6463,25,1996-11-25,VYDAJ,VYBER,6800,39510,,,
6464,25,1996-12-09,VYDAJ,VYBER,62900,52214,,,
6465,25,1996-12-25,VYDAJ,VYBER,36300,65247,,,
6466,25,1997-01-24,VYDAJ,VYBER,11000,36916,,,
6467,25,1997-02-23,VYDAJ,VYBER,12300,38869,,,
6468,25,1997-03-25,VYDAJ,VYBER,1600,29408,,,
6469,25,1997-04-07,VYDAJ,VYBER,27200,84285,,,
6470,25,1997-04-24,VYDAJ,VYBER,21600,42563,,,
6471,25,1997-05-24,VYDAJ,VYBER,34000,57199,,,
6472,25,1997-06-23,VYDAJ,VYBER,13400,34702,,,
6473,25,1997-07-23,VYDAJ,VYBER,15100,37683,,,
6474,25,1997-08-22,VYDAJ,VYBER,17800,42107,,,
6475,25,1997-09-21,VYDAJ,VYBER,33600,53210,,,
6476,25,1997-10-21,VYDAJ,VYBER,30700,56454,,,
6477,25,1997-11-20,VYDAJ,VYBER,59200,39653,,,
6478,25,1997-11-20,VYDAJ,VYBER,20800,98853,,,
11043,37,1997-08-18,PRIJEM,VKLAD,900,900,,,
11045,37,1997-11-01,PRIJEM,VKLAD,11660,46868,,,
11046,37,1997-11-28,PRIJEM,VKLAD,37413,69483,,,
11048,37,1997-12-30,PRIJEM,VKLAD,21018,62472,,,
11049,37,1997-09-11,PRIJEM,VKLAD,38257,94492,,,
11052,37,1997-08-22,PRIJEM,VKLAD,21538,56150,,,
11054,37,1997-08-20,PRIJEM,VKLAD,33712,34612,,,
11058,37,1997-09-17,PRIJEM,VKLAD,7878,102370,,,
11059,37,1998-03-05,PRIJEM,VKLAD,47001,64179,,,
11060,37,1998-07-11,PRIJEM,VKLAD,7585,17052,,,
11061,37,1998-08-14,PRIJEM,VKLAD,47785,46774,,,
11062,37,1998-03-27,PRIJEM,VKLAD,26615,79393,,,
11063,37,1998-04-19,PRIJEM,VKLAD,11830,40304,,,
11064,37,1998-03-09,PRIJEM,VKLAD,42997,104762,,,
11065,37,1998-05-12,PRIJEM,VKLAD,24116,72886,,,
11066,37,1998-04-29,PRIJEM,VKLAD,17195,57499,,,
11068,37,1998-09-20,PRIJEM,VKLAD,42957,49186,,,
11079,37,1997-11-05,VYDAJ,VYBER,6700,40168,,,0.0
11080,37,1997-12-14,VYDAJ,VYBER,4500,60154,,,0.0
11081,37,1998-01-14,VYDAJ,VYBER,4500,35187,,,0.0
11082,37,1998-02-07,VYDAJ,VYBER,5500,17518,,,0.0
11083,37,1998-03-11,VYDAJ,VYBER,6200,95978,,,0.0
11084,37,1998-04-05,VYDAJ,VYBER,5800,49872,,,0.0
11085,37,1998-05-17,VYDAJ,VYBER,5100,39286,,,0.0
11086,37,1998-06-18,VYDAJ,VYBER,7000,14375,,,0.0
11087,37,1998-07-19,VYDAJ,VYBER,6200,9052,,,0.0
11088,37,1998-08-13,VYDAJ,VYBER,5100,-1011,,,0.0
11089,37,1998-08-29,VYDAJ,VYBER,7300,15470,,,0.0
11090,37,1998-10-06,VYDAJ,VYBER,3200,32566,,,0.0
11103,37,1997-11-08,VYDAJ,PREVOD NA UCET,2317,37754,SIPO,IJ,29728555.0
11104,37,1997-12-08,VYDAJ,PREVOD NA UCET,2317,67238,SIPO,IJ,29728555.0
11105,37,1998-01-08,VYDAJ,PREVOD NA UCET,2317,53071,SIPO,IJ,29728555.0
11106,37,1998-02-08,VYDAJ,PREVOD NA UCET,2317,15104,SIPO,IJ,29728555.0
11107,37,1998-03-08,VYDAJ,PREVOD NA UCET,2317,61765,SIPO,IJ,29728555.0
11108,37,1998-04-08,VYDAJ,PREVOD NA UCET,2317,47458,SIPO,IJ,29728555.0
11109,37,1998-05-08,VYDAJ,PREVOD NA UCET,2317,55254,SIPO,IJ,29728555.0
11110,37,1998-06-08,VYDAJ,PREVOD NA UCET,2317,37059,SIPO,IJ,29728555.0
11111,37,1998-07-08,VYDAJ,PREVOD NA UCET,2317,12051,SIPO,IJ,29728555.0
11112,37,1998-08-08,VYDAJ,PREVOD NA UCET,2317,6673,SIPO,IJ,29728555.0
11113,37,1998-09-08,VYDAJ,PREVOD NA UCET,2317,13113,SIPO,IJ,29728555.0
11114,37,1998-10-08,VYDAJ,PREVOD NA UCET,2317,30152,SIPO,IJ,29728555.0
11127,37,1997-11-09,VYDAJ,PREVOD NA UCET,2584,35170, ,OP,23782724.0
11128,37,1997-12-09,VYDAJ,PREVOD NA UCET,2584,64654, ,OP,23782724.0
11129,37,1998-01-09,VYDAJ,PREVOD NA UCET,2584,46587, ,OP,23782724.0
11130,37,1998-02-09,VYDAJ,PREVOD NA UCET,2584,12520, ,OP,23782724.0
11131,37,1998-03-09,VYDAJ,PREVOD NA UCET,2584,102178, ,OP,23782724.0
11132,37,1998-04-09,VYDAJ,PREVOD NA UCET,2584,44874, ,OP,23782724.0
11133,37,1998-05-09,VYDAJ,PREVOD NA UCET,2584,52670, ,OP,23782724.0
11134,37,1998-06-09,VYDAJ,PREVOD NA UCET,2584,34475, ,OP,23782724.0
11135,37,1998-07-09,VYDAJ,PREVOD NA UCET,2584,9467, ,OP,23782724.0
11136,37,1998-08-09,VYDAJ,PREVOD NA UCET,2584,4089, ,OP,23782724.0
11137,37,1998-09-09,VYDAJ,PREVOD NA UCET,2584,10529, ,OP,23782724.0
11138,37,1998-10-09,VYDAJ,PREVOD NA UCET,2584,27568, ,OP,23782724.0
11151,37,1997-11-07,VYDAJ,PREVOD NA UCET,97,40071,POJISTNE,YZ,89609831.0
11152,37,1997-12-07,VYDAJ,PREVOD NA UCET,97,69555,POJISTNE,YZ,89609831.0
11153,37,1998-01-07,VYDAJ,PREVOD NA UCET,97,55388,POJISTNE,YZ,89609831.0
11154,37,1998-02-07,VYDAJ,PREVOD NA UCET,97,17421,POJISTNE,YZ,89609831.0
11155,37,1998-03-07,VYDAJ,PREVOD NA UCET,97,64082,POJISTNE,YZ,89609831.0
11156,37,1998-04-07,VYDAJ,PREVOD NA UCET,97,49775,POJISTNE,YZ,89609831.0
11157,37,1998-05-07,VYDAJ,PREVOD NA UCET,97,57571,POJISTNE,YZ,89609831.0
11158,37,1998-06-07,VYDAJ,PREVOD NA UCET,97,39376,POJISTNE,YZ,89609831.0
11159,37,1998-07-07,VYDAJ,PREVOD NA UCET,97,14368,POJISTNE,YZ,89609831.0
11160,37,1998-08-07,VYDAJ,PREVOD NA UCET,97,8990,POJISTNE,YZ,89609831.0
11161,37,1998-09-07,VYDAJ,PREVOD NA UCET,97,15430,POJISTNE,YZ,89609831.0
